,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,20058.446521212754,64534.36360587779,62168.51421826106,24528.61806315108,20787.020138771215,0.0,0.0,0.0,40383.53255629027,28942.36846208063,49497.101376934035,22701.1717221296,31176.512398755745,14351.683501787673,17861.09798006338,11865.416637988237,11536.788838853332,18567.113254043332,26841.150177207543,12570.36866639476,19787.20030654967,25880.959187456407,31826.501534932147,20224.377248694014,9439.504629015486
第 2 分钟内,2794.037974361854,7889.411465950601,13878.682532189763,0.0,10237.754384016793,4347.659450097708,13733.877227420919,16386.088813140464,2631.2269366213877,15111.961103189824,0.0,7677.602323253581,4160.876041293304,2186.6948368828453,7509.000982336991,0.0,20049.220671107527,7512.740025463514,598.1861719428562,3893.0760600673384,0.0,15381.61140175577,8758.208979146933,3120.003081266943,3353.953903664835
第 3 分钟内,16969.643233438197,14983.066365936305,33351.99758567801,42289.51074758393,25059.8566924989,22178.39142566675,0.0,0.0,2823.432825236552,7333.388177271816,33966.03550771542,7222.720568258315,1804.7932188933482,2382.5883209009917,9321.318101667828,22466.447543302784,5639.646539097041,2820.6751444421243,3188.17126793896,14483.58216009516,0.0,3466.45314889797,299.33184497171897,1854.2517925243737,13034.911129312648
第 4 分钟内,11005.988293540373,2037.7864294166793,0.0,32781.89224952302,98521.81133536066,0.0,17529.526671188592,4195.182712769019,15880.614195720758,32311.596771390963,0.0,8824.315123016306,5574.724345611787,8715.135583466661,12102.907796274172,11397.451115959615,9922.855510557682,11893.84887398401,7822.387479668876,15525.471996840395,0.0,0.0,0.0,4857.6034292841505,11208.215168752475
第 5 分钟内,0.0,0.0,0.0,0.0,0.0,19029.91546177835,0.0,10350.861519086466,3899.133246258425,1431.6854667256703,12612.405924466264,0.0,3320.295008877758,1520.3026493302605,4882.619247382623,14139.120773674571,0.0,2827.965506576016,2634.391410471697,5168.375835575003,4019.452224663517,10449.982669113757,5252.081469821336,1221.4508617498068,1510.8904137578938
第 6 分钟内,18960.300500119687,43323.1688593179,90993.61390488234,56142.58674268739,30537.038740399817,3604.1354712732136,0.0,1118.2310708953883,12616.040778488357,19583.199157321797,34711.195537395164,10761.64701497642,7134.411081716564,1118.1489200306241,5160.527264829405,26790.95453735933,4439.807610459684,3177.48947155512,1206.9516546107188,8872.510111062147,20469.821697691164,16526.86752251748,12960.715849007247,3323.9486971020524,11053.927803969738
第 7 分钟内,2684.868617935339,0.0,0.0,2810.235053907614,6086.159884749941,21437.249719656887,31444.879054639314,7061.735062900581,8321.317527176609,2811.735195683519,0.0,1540.0786969921319,2291.7484407050215,1768.763412187196,5424.812812768505,0.0,4991.619953936635,214.4720726571686,1597.9372766611486,44.879350384188,11748.944794636947,1192.8535801671678,0.0,859.2690272078617,1824.5405411237589
第 8 分钟内,3128.716116218595,12229.396446210216,20503.005513748736,24248.426211627957,3956.4070290137024,0.0,0.0,0.0,0.0,0.0,7233.643224199535,1602.7410045746656,816.3259301316575,54.85869778893539,1656.4927656739746,5460.265878336795,1281.7732395087078,771.4401871139125,565.9975205265655,2248.175014943161,2175.734348892205,0.0,786.504300652945,783.2250606320595,0.0
第 9 分钟内,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3106.842976421409,4234.90920058795,0.0,0.0,2301.74448960289,2576.843469712301,6091.689868351765,7569.432696887176,6848.171717680612,2438.5037258648663,0.0,2109.425217746815,0.0,0.0,0.0,0.0
第 10 分钟内,0.0,28331.925996177888,74146.7034652144,82455.03578758275,25865.76480555287,0.0,0.0,0.0,8286.673067477852,6051.160795842996,0.0,5835.003037855262,405.04653253010474,204.588460469211,0.0,0.0,4630.777311270795,1276.3821961126669,0.0,5060.1452563707135,0.0,5834.910300925345,5589.354806626856,8009.437108853221,23658.20803583518
